date,open,close,high,low,amount
2024-04-03,394.06,392.13,396.75,390.98,588427.0
2024-04-08,391.17,383.67,391.17,383.47,732661.0
2024-04-09,383.47,388.67,390.79,382.9,617601.0
2024-04-10,388.67,379.05,389.05,377.32,675196.0
2024-04-11,377.51,376.16,380.2,372.7,605962.0
2024-04-12,376.16,367.31,377.51,366.73,759589.0
2024-04-15,367.12,369.81,376.55,366.35,802284.0
2024-04-16,369.43,360.38,369.43,359.61,730718.0
2024-04-17,360.96,368.08,368.08,360.96,709027.0
2024-04-18,366.93,371.74,374.24,360.77,858203.0
2024-04-19,369.62,365.19,369.62,361.35,900729.0
2024-04-22,375.78,380.59,388.86,375.59,1682037.0
2024-04-23,376.55,371.54,382.13,370.58,919244.0
2024-04-24,371.93,366.16,372.7,363.27,703404.0
2024-04-25,364.23,361.73,367.7,358.46,765376.0
2024-04-26,360.38,368.47,370.0,359.42,977970.0
2024-04-29,368.85,375.78,382.13,368.27,1294736.0
2024-04-30,368.08,360.38,370.0,358.65,1808807.0
2024-05-06,362.31,366.35,369.62,362.31,1119969.0
2024-05-07,364.23,371.35,371.35,360.96,1016165.0
2024-05-08,371.35,366.35,371.35,366.16,676018.0
2024-05-09,367.89,375.01,381.55,367.5,1463899.0
2024-05-10,374.24,368.47,374.24,366.35,1054451.0
2024-05-13,368.08,374.24,377.51,362.5,1227827.0
2024-05-14,375.59,372.51,375.78,370.39,664370.0
2024-05-15,372.51,369.43,376.74,369.04,572771.0
2024-05-16,368.27,366.93,369.43,364.23,707683.0
2024-05-17,363.27,368.47,368.47,359.61,792745.0
2024-05-20,366.16,366.16,370.77,365.19,623633.0
2024-05-21,365.58,362.31,365.96,361.54,531462.0
2024-05-22,366.35,386.55,392.33,366.35,3006932.0
2024-05-23,385.4,374.43,386.36,373.08,1773080.0
2024-05-24,373.08,371.16,381.55,370.39,1130400.0
2024-05-27,371.54,366.73,373.08,361.92,976756.0
2024-05-28,365.0,365.96,370.0,363.65,675229.0
2024-05-29,369.81,375.78,383.28,369.81,1900741.0
2024-05-30,377.89,373.85,381.55,372.51,977197.0
